( 1100010101100101001010101101010 , 00111000000001101000101010000010 )
( 1110010101100101001010101101010 , 00111000000001101000101010000010 )
( 0011100101100101001010101101010 , 00111000000001101000101010000010 )
( 0011110101100101001010101101010 , 00111000000001101000101010000010 )
( 0010101101100101001010101101010 , 00111000000001101000101010000010 )
( 0010101111100101001010101101010 , 00111000000001101000101010000010 )
( 0010101101100101001010101101010 , 00111000000001101000101010000010 )
( 0010101101110101001010101101010 , 00111000000001101000101010000010 )
( 0010101100101101001010101101010 , 00111000000001101000101010000010 )
( 0010101100101111001010101101010 , 00111000000001101000101010000010 )
( 0010101100101001101010101101010 , 00111000000001101000101010000010 )
( 0010101100101001111010101101010 , 00111000000001101000101010000010 )
( 0010101100101001011100101101010 , 00111000000001101000101010000010 )
( 0010101100101001011110101101010 , 00111000000001101000101010000010 )
( 0010101100101001010101101101010 , 00111000000001101000101010000010 )
( 0010101100101001010101111101010 , 00111000000001101000101010000010 )
( 0010101100101001010101101101010 , 00111000000001101000101010000010 )
( 0010101100101001010101101111010 , 00111000000001101000101010000010 )
( 0010101100101001010101101011100 , 00111000000001101000101010000010 )
( 0010101100101001010101101011110 , 00111000000001101000101010000010 )
( 0010101100101001010101101010001 , 10111000000001101000101010000010 )
( 0010101100101001010101101010001 , 11111000000001101000101010000010 )
( 0010101100101001010101101010001 , 11110000000001101000101010000010 )
( 0010101100101001010101101010001 , 11111000000001101000101010000010 )
( 0010101100101001010101101010001 , 11000110000001101000101010000010 )
( 0010101100101001010101101010001 , 11000111000001101000101010000010 )
( 0010101100101001010101101010001 , 11000000110001101000101010000010 )
( 0010101100101001010101101010001 , 11000000111001101000101010000010 )
( 0010101100101001010101101010001 , 11000000001110101000101010000010 )
( 0010101100101001010101101010001 , 11000000001111101000101010000010 )
( 0010101100101001010101101010001 , 11000000001101110000101010000010 )
( 0010101100101001010101101010001 , 11000000001101111000101010000010 )
( 0010101100101001010101101010001 , 11000000001101000110101010000010 )
( 0010101100101001010101101010001 , 11000000001101000111101010000010 )
( 0010101100101001010101101010001 , 11000000001101000101110010000010 )
( 0010101100101001010101101010001 , 11000000001101000101111010000010 )
( 0010101100101001010101101010001 , 11000000001101000101010110000010 )
( 0010101100101001010101101010001 , 11000000001101000101010111000010 )
( 0010101100101001010101101010001 , 11000000001101000101010000110010 )
( 0010101100101001010101101010001 , 11000000001101000101010000111010 )
( 0010101100101001010101101010001 , 11000000001101000101010000010110 )
( 0010101100101001010101101010001 , 11000000001101000101010000010111 )
